cik,AssetsCurrent_USD,Assets_USD,CashAndCashEquivalentsAtCarryingValue_USD,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockValue_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,Liabilities_USD,RetainedEarningsAccumulatedDeficit_USD,StockholdersEquity_USD
771497,1474600000.0,3782200000.0,378300000.0,100000000.0,67078471.0,700000.0,3782200000.0,1017800000.0,2213100000.0,867500000.0,1569100000.0
1501989,324013000.0,358663000.0,191859000.0,150000000.0,48251819.0,1000.0,358663000.0,100924000.0,308860000.0,-450115000.0,49803000.0
1649096,,1207866000.0,72058000.0,500000000.0,16063228.0,160000.0,1207866000.0,,1103752000.0,-48045000.0,39462000.0
13239,953000000.0,4002000000.0,204000000.0,100.0,100.0,0.0,4002000000.0,699000000.0,3179000000.0,-319000000.0,
1318605,26717000000.0,52148000000.0,19384000000.0,2000000000.0,960000000.0,1000000.0,52148000000.0,14248000000.0,28418000000.0,-5399000000.0,22225000000.0
1736541,7081505000.0,8374243000.0,5888972000.0,4000000000.0,1529031103.0,,8374243000.0,2141953000.0,3491140000.0,-7915465000.0,4163806000.0
1737372,108000.0,2024000.0,67000.0,499560659.0,66431920.0,,2024000.0,199000.0,199000.0,-135000.0,1825000.0
1091223,,,,,,,,,,,
1429260,266150000.0,333413000.0,233351000.0,150000000.0,94877492.0,95000.0,333413000.0,51760000.0,136414000.0,-482760000.0,100338000.0
875582,35475804.0,69205052.0,6953341.0,15000000.0,9104636.0,182093.0,69205052.0,7302886.0,,43735209.0,58370435.0
1144546,0.0,0.0,0.0,200000000.0,44093276.0,44093.0,0.0,66694.0,181415.0,-181415.0,-181415.0
731245,,1058282.0,114223.0,,,,1058282.0,,1911914.0,-8975791.0,-853632.0
879764,,,,,,,,,,,
1070412,273332000.0,8041764000.0,15617000.0,500000000.0,220440993.0,2208000.0,8041764000.0,441312000.0,3619327000.0,1476056000.0,4422437000.0
1813814,81519000.0,81519000.0,80094000.0,,,,81519000.0,3008000.0,5651000.0,-44636000.0,75868000.0
1742924,249800000.0,936800000.0,11600000.0,2000000000.0,146461249.0,100000.0,936800000.0,82300000.0,400600000.0,60300000.0,536200000.0
1857475,730395000.0,1885802000.0,160503000.0,1000000000.0,,4865000.0,1885802000.0,689906000.0,1197570000.0,460715000.0,535009000.0
46250,155469000.0,446005000.0,7969000.0,30000000.0,10462159.0,523000.0,446005000.0,59032000.0,189091000.0,207416000.0,256915000.0
802481,2902711000.0,7474497000.0,547624000.0,800000000.0,261184998.0,2612000.0,7474497000.0,1937580000.0,4899150000.0,972569000.0,2563761000.0
1780262,147423.0,58043192.0,135809.0,100000000.0,2345924.0,235.0,58043192.0,113083.0,1550583.0,-1050071.0,5000001.0
1557376,354832.0,870925.0,66814.0,2500000000.0,1010132783.0,1010133.0,870925.0,3584049.0,3749041.0,-37018194.0,-2878116.0
1023128,3339900000.0,7902100000.0,160200000.0,100000000.0,26300000.0,788200000.0,7902100000.0,2479700000.0,5240600000.0,1838200000.0,2661500000.0
1652362,492369000.0,729140000.0,164041000.0,150000000.0,21008745.0,2000.0,729140000.0,389553000.0,801818000.0,-125468000.0,-90161000.0
1081938,467551.0,8747591.0,334969.0,300000000.0,46986794.0,4699.0,8747591.0,17549190.0,17549190.0,-77331820.0,-8801601.0
1386570,32219000.0,38358000.0,16697000.0,150000000.0,61881000.0,62000.0,38358000.0,16476000.0,21934000.0,-141825000.0,16424000.0
1538847,,,,,,,,,,,
1823529,,5652710000.0,452794000.0,600000000.0,162840000.0,1628000.0,5652710000.0,,1770899000.0,1303106000.0,3881811000.0
1263011,,,,,,,,,,,
1845459,,,,400000000.0,4312500.0,,,,,,0.0
920427,,1958914000.0,,12500000.0,10961000.0,,1958914000.0,,1785003000.0,90669000.0,173911000.0
1820931,1527103.0,251534022.0,1277714.0,,25000000.0,,251534022.0,381676.0,30605836.0,-29072439.0,-29071814.0
1746119,206219.0,540693.0,43603.0,600000000.0,59434838.0,5943.0,540693.0,580451.0,588355.0,-1882671.0,-47662.0
836690,13184388.0,21548148.0,5608255.0,75000000.0,19310835.0,19311.0,21548148.0,1970884.0,2100573.0,-10707577.0,19447575.0
1821850,2600178.0,106073000.0,49583000.0,,,,106073000.0,985396.0,63460000.0,-623342000.0,5000008.0
1826889,169050000.0,356253000.0,56827000.0,1900000000.0,,24000.0,356253000.0,219917000.0,256995000.0,3339000.0,99258000.0
1819498,74810.0,187610.0,74810.0,,,,187610.0,163561.0,163561.0,-951.0,24049.0
1207074,662778000.0,1280093000.0,347173000.0,120000000.0,33717535.0,337000.0,1280093000.0,263999000.0,714154000.0,325679000.0,458489000.0
1534701,13276000000.0,54721000000.0,2514000000.0,2500000000.0,648643223.0,6000000.0,54721000000.0,9518000000.0,33198000000.0,16500000000.0,18984000000.0
1787518,46730470.0,46730470.0,712817.0,,1511000.0,3880288.0,46730470.0,328028.0,575662.0,-3725480.0,154808.0
1835236,55000.0,228427.0,55000.0,,,,228427.0,204178.0,204178.0,-751.0,24249.0
1681206,,617603000.0,101077000.0,25000000.0,23000000.0,230000.0,617603000.0,,268731000.0,258741000.0,
936340,3498000000.0,45496000000.0,472000000.0,400000000.0,193770617.0,5406000000.0,45496000000.0,2691000000.0,,7156000000.0,12425000000.0
1713407,,440873609.0,32740150.0,1000000000.0,20510001.0,205099.0,440873609.0,,247689660.0,-15179566.0,185466100.0
36377,,22662831000.0,1040944000.0,300000000.0,140191133.0,1402000.0,22662831000.0,,19918727000.0,473974000.0,2744104000.0
1567529,,,,,,,,222000.0,,,
1713334,607821000.0,3043897000.0,575215000.0,,,,,162151000.0,1776174000.0,-1086160000.0,1059987000.0
1262976,259184000.0,1930513000.0,36883000.0,100000000.0,44080627.0,615000.0,1930513000.0,661376000.0,2229934000.0,638883000.0,-364931000.0
1640455,211391000.0,244236000.0,147493000.0,160000000.0,41729000.0,42000.0,244236000.0,19324000.0,32942000.0,-151001000.0,211294000.0
1826492,124976000.0,147884000.0,115603000.0,500000000.0,99044776.0,,147884000.0,14308000.0,22266000.0,-86441000.0,-90096000.0
1169561,606635000.0,905579000.0,377569000.0,250000000.0,46835000.0,466000.0,905579000.0,359436000.0,,-618068000.0,414071000.0
1786205,,,,,,,,,,,-63720000.0
1325670,,3088673000.0,196185000.0,45000000.0,24368612.0,243000.0,3088673000.0,,2698119000.0,77956000.0,390554000.0
1671933,2310317000.0,2753645000.0,437353000.0,,,0.0,2753645000.0,1474683000.0,1740500000.0,474367000.0,1013145000.0
