cik,AccountsPayableCurrent_USD,AccumulatedOtherComprehensiveIncomeLossNetOfTax_USD,AdditionalPaidInCapital_USD,AssetsCurrent_USD,Assets_USD,CashAndCashEquivalentsAtCarryingValue_USD,CashAndCashEquivalentsPeriodIncreaseDecrease_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_USD,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_USD,CommonStockSharesAuthorized_shares,CommonStockSharesIssued_shares,CommonStockSharesOutstanding_shares,CommonStockValue_USD,DeferredTaxAssetsValuationAllowance_USD,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate_pure,EntityCommonStockSharesOutstanding_shares,EntityPublicFloat_USD,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest_USD,IncomeTaxExpenseBenefit_USD,InterestPaidNet_USD,LiabilitiesAndStockholdersEquity_USD,LiabilitiesCurrent_USD,Liabilities_USD,NetCashProvidedByUsedInFinancingActivities_USD,NetCashProvidedByUsedInInvestingActivities_USD,NetCashProvidedByUsedInOperatingActivities_USD,NetIncomeLoss_USD,OperatingIncomeLoss_USD,OperatingLeaseRightOfUseAsset_USD,PaymentsToAcquirePropertyPlantAndEquipment_USD,PreferredStockSharesAuthorized_shares,PreferredStockSharesIssued_shares,PreferredStockSharesOutstanding_shares,ProceedsFromIssuanceOfCommonStock_USD,ProfitLoss_USD,PropertyPlantAndEquipmentNet_USD,RetainedEarningsAccumulatedDeficit_USD,ShareBasedCompensation_USD,StockIssuedDuringPeriodValueNewIssues_USD,StockholdersEquity_USD,UnrecognizedTaxBenefits_USD,WeightedAverageNumberOfDilutedSharesOutstanding_shares,WeightedAverageNumberOfSharesOutstandingBasic_shares
1750,198300000.0,-43000000.0,,1041700000.0,1669300000.0,110000000.0,,,,100000000.0,45300786.0,,45300000.0,,,35292336.0,952000000.0,,,,1669300000.0,408200000.0,,,,,,,83300000.0,,250000.0,0.0,,,,125000000.0,699600000.0,,,,,,
1800,,-8946000000.0,,20441000000.0,72548000000.0,6838000000.0,,,6838000000.0,2400000000.0,1981156896.0,,24145000000.0,1160000000.0,,1771529358.0,,,,,72548000000.0,11907000000.0,,,,,,,1101000000.0,,1000000.0,0.0,,,,9029000000.0,27627000000.0,,,32784000000.0,1210000000.0,,
1961,981898.0,,41240880.0,474587.0,691854.0,474587.0,,,,250000000.0,56814833.0,56814833.0,,17131179.0,,,,,,,691854.0,3361742.0,3361742.0,,,,,,,,,,,,,,45174496.0,,,-2669888.0,,,
2098,7601123.0,-825967.0,7930673.0,83685908.0,129867736.0,4167376.0,,,4167000.0,8000000.0,3520646.0,3338913.0,12100663.0,,,,,,,,129867736.0,20200722.0,67151293.0,,,,,,2421669.0,,,,,,,20238907.0,58033252.0,,,62717000.0,,,
2178,85991000.0,,13340000.0,187513000.0,296187000.0,39293000.0,,,52065000.0,7500000.0,,4243716.0,423000.0,525000.0,,,,,,,296187000.0,114548000.0,147095000.0,,,,,,8051000.0,,960000.0,,0.0,,,94134000.0,135329000.0,,,149092000.0,,,
2186,5119000.0,,26346000.0,25715000.0,38594000.0,6826000.0,,,6826000.0,50000000.0,13962366.0,12511966.0,8377000.0,98.0,,,,,,,38594000.0,9466000.0,14966000.0,,,,,,2887000.0,,1000000.0,0.0,0.0,,,3566000.0,-1104000.0,,,23628000.0,,,
2488,468000000.0,17000000.0,,6143000000.0,8962000000.0,1595000000.0,,,1595000000.0,2250000000.0,1217000000.0,1211000000.0,12000000.0,1576000000.0,,1211280009.0,,,,,8962000000.0,2417000000.0,,,,,,,208000000.0,,,,,,,641000000.0,-4605000000.0,,,5837000000.0,119000000.0,,
2809,,,,,,,,,,,,,,,,243301195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2969,,-1713300000.0,,8809800000.0,26088100000.0,5788000000.0,,,,,249455584.0,,249400000.0,,,221276890.0,,,,,26088100000.0,2985900000.0,13016200000.0,,,,,,,,,,,,,12517100000.0,15060500000.0,,,12683600000.0,,,
3197,,-14496000.0,,183485000.0,419314000.0,35992000.0,,,,100000000.0,35504757.0,35504757.0,355000.0,5965000.0,,,,,,,419314000.0,109356000.0,215703000.0,,,,,,11376000.0,,10000.0,0.0,,,,16228000.0,-38141000.0,,,202658000.0,139000.0,,
3453,,-50800000.0,,305900000.0,2900600000.0,14400000.0,,,19700000.0,150000000.0,,43200000.0,32400000.0,10000000.0,,,,,,,2900600000.0,511500000.0,,,,,,,251400000.0,,,,,,,1689900000.0,658100000.0,,,961200000.0,18300000.0,,
3499,,-707000.0,32965000.0,,1404138000.0,428710000.0,,,449877000.0,10000000.0,5173450.0,5107290.0,5173000.0,,,5107290.0,,,,,1404138000.0,,1200910000.0,,,,,,3974000.0,,3000000.0,0.0,0.0,,,,166165000.0,,,203228000.0,,,
3545,1950000.0,,,57794000.0,430182000.0,2601000.0,,,2601000.0,15000000.0,8416145.0,7506160.0,8416000.0,,,7506160.0,,,,,430182000.0,18013000.0,205640000.0,,,,,,,,1000000.0,0.0,,,,367221000.0,221513000.0,,,219142000.0,,,
3570,35000000.0,,4273000000.0,3169000000.0,35697000000.0,1628000000.0,,,2077000000.0,480000000.0,273100000.0,252300000.0,1000000.0,190000000.0,,,,,,,35697000000.0,2196000000.0,,,,,,,759000000.0,,5000000.0,0.0,,,,30421000000.0,-3593000000.0,,,-191000000.0,62000000.0,,
4127,264600000.0,-7700000.0,,2575200000.0,5419800000.0,617200000.0,,,,525000000.0,233400000.0,164900000.0,41200000.0,,,166691622.0,,,,,5419800000.0,507600000.0,1004900000.0,,,,,,172400000.0,,25000000.0,0.0,,,,1305400000.0,5246700000.0,,,4414900000.0,,,
4281,599000000.0,-1943000000.0,4668000000.0,3672000000.0,11443000000.0,1610000000.0,,,1611000000.0,600000000.0,432906377.0,433000000.0,433000000.0,2307000000.0,,433614667.0,,,,,11443000000.0,1660000000.0,7866000000.0,,,,,,131000000.0,,,,,,,2592000000.0,364000000.0,,,3577000000.0,2000000.0,,
4447,200000000.0,-755000000.0,,3081000000.0,18821000000.0,1739000000.0,,,,600000000.0,306980092.0,307000000.0,307000000.0,5391000000.0,,306986553.0,,,,,18821000000.0,1623000000.0,12486000000.0,,,,,,426000000.0,,,,,,,14115000000.0,130000000.0,,,5366000000.0,166000000.0,,
4457,,85910000.0,453819000.0,,14447305000.0,1398840000.0,,,,,,,,,,,,,,,14447305000.0,,9690150000.0,,,,,,97186000.0,,,,,,,8025224000.0,4884579000.0,,,4757155000.0,,,
4904,1709700000.0,-85100000.0,6588900000.0,4351500000.0,80757200000.0,392700000.0,,,438300000.0,600000000.0,516808354.0,,3359300000.0,,,496604194.0,39549558010.0,,,,80757200000.0,9926700000.0,59937500000.0,,,,,,866400000.0,,,,,,,63901600000.0,10687800000.0,,,20550900000.0,13200000.0,,
4962,,-2895000000.0,11881000000.0,,191367000000.0,,,,32965000000.0,3600000000.0,805000000.0,805000000.0,161000000.0,418000000.0,,805588980.0,,,,,191367000000.0,,168383000000.0,,,,,,,,20000000.0,1600.0,1600.0,,,5015000000.0,13837000000.0,,,22984000000.0,790000000.0,,
4969,,-1099000000.0,161000000.0,,24308000000.0,,,,601000000.0,3000000.0,1500000.0,1500000.0,0.0,,,,,,,,24308000000.0,,21413000000.0,,,,,,,,,,,,,,3833000000.0,,,2895000000.0,98000000.0,,
